stone: A
weeping_vines: GB
twisting_vines: HB
sugar_cane: IB
kelp: JB
bamboo: KB
gold_block: LB
iron_block: MB
oak_slab: NB
spruce_slab: OB
birch_slab: PB
jungle_slab: QB
acacia_slab: RB
dark_oak_slab: SB
crimson_slab: TB
warped_slab: UB
stone_slab: VB
smooth_stone_slab: WB
sandstone_slab: XB
cut_sandstone_slab: YB
petrified_oak_slab: ZB
cobblestone_slab: aB
brick_slab: bB
stone_brick_slab: cB
nether_brick_slab: dB
quartz_slab: eB
red_sandstone_slab: fB
cut_red_sandstone_slab: gB
purpur_slab: hB
prismarine_slab: iB
prismarine_brick_slab: jB
dark_prismarine_slab: kB
smooth_quartz: lB
smooth_red_sandstone: mB
smooth_sandstone: nB
smooth_stone: oB
bricks: pB
tnt: qB
bookshelf: rB
mossy_cobblestone: sB
obsidian: tB
torch: uB
end_rod: vB
chorus_plant: wB
chorus_flower: xB
purpur_block: yB
purpur_pillar: zB
spawner: 0B
chest: 1B
diamond_ore: 2B
diamond_block: 3B
crafting_table: 4B
farmland: 5B
furnace: 6B
ladder: 7B
rail: 8B
lever: 9B
stone_pressure_plate: AC
oak_pressure_plate: BC
spruce_pressure_plate: CC
birch_pressure_plate: DC
jungle_pressure_plate: EC
acacia_pressure_plate: FC
dark_oak_pressure_plate: GC
crimson_pressure_plate: HC
warped_pressure_plate: IC
polished_blackstone_pressure_plate: JC
redstone_ore: KC
redstone_torch: LC
snow: MC
ice: NC
snow_block: OC
cactus: PC
clay: QC
jukebox: RC
oak_fence: SC
spruce_fence: TC
birch_fence: UC
jungle_fence: VC
acacia_fence: WC
dark_oak_fence: XC
crimson_fence: YC
warped_fence: ZC
pumpkin: aC
carved_pumpkin: bC
netherrack: cC
soul_sand: dC
soul_soil: eC
basalt: fC
polished_basalt: gC
soul_torch: hC
glowstone: iC
jack_o_lantern: jC
oak_trapdoor: kC
spruce_trapdoor: lC
birch_trapdoor: mC
jungle_trapdoor: nC
acacia_trapdoor: oC
dark_oak_trapdoor: pC
crimson_trapdoor: qC
warped_trapdoor: rC
infested_stone: sC
infested_cobblestone: tC
infested_stone_bricks: uC
infested_mossy_stone_bricks: vC
infested_cracked_stone_bricks: wC
infested_chiseled_stone_bricks: xC
stone_bricks: yC
mossy_stone_bricks: zC
cracked_stone_bricks: 0C
chiseled_stone_bricks: 1C
brown_mushroom_block: 2C
red_mushroom_block: 3C
mushroom_stem: 4C
iron_bars: 5C
chain: 6C
glass_pane: 7C
melon: 8C
vine: 9C
oak_fence_gate: AD
spruce_fence_gate: BD
birch_fence_gate: CD
jungle_fence_gate: DD
acacia_fence_gate: ED
dark_oak_fence_gate: FD
crimson_fence_gate: GD
warped_fence_gate: HD
mycelium: ID
lily_pad: JD
nether_bricks: KD
cracked_nether_bricks: LD
chiseled_nether_bricks: MD
nether_brick_fence: ND
enchanting_table: OD
end_portal_frame: PD
end_stone: QD
end_stone_bricks: RD
dragon_egg: SD
redstone_lamp: TD
emerald_ore: UD
ender_chest: VD
tripwire_hook: WD
emerald_block: XD
command_block: YD
beacon: ZD
cobblestone_wall: aD
mossy_cobblestone_wall: bD
brick_wall: cD
prismarine_wall: dD
red_sandstone_wall: eD
mossy_stone_brick_wall: fD
granite_wall: gD
stone_brick_wall: hD
nether_brick_wall: iD
andesite_wall: jD
red_nether_brick_wall: kD
sandstone_wall: lD
end_stone_brick_wall: mD
diorite_wall: nD
blackstone_wall: oD
polished_blackstone_wall: pD
polished_blackstone_brick_wall: qD
stone_button: rD
oak_button: sD
spruce_button: tD
birch_button: uD
jungle_button: vD
acacia_button: wD
dark_oak_button: xD
crimson_button: yD
warped_button: zD
polished_blackstone_button: 0D
anvil: 1D
chipped_anvil: 2D
damaged_anvil: 3D
trapped_chest: 4D
light_weighted_pressure_plate: 5D
heavy_weighted_pressure_plate: 6D
daylight_detector: 7D
redstone_block: 8D
nether_quartz_ore: 9D
hopper: AE
chiseled_quartz_block: BE
quartz_block: CE
quartz_bricks: DE
quartz_pillar: EE
activator_rail: FE
dropper: GE
white_terracotta: HE
orange_terracotta: IE
magenta_terracotta: JE
light_blue_terracotta: KE
yellow_terracotta: LE
lime_terracotta: ME
pink_terracotta: NE
gray_terracotta: OE
light_gray_terracotta: PE
cyan_terracotta: QE
purple_terracotta: RE
blue_terracotta: SE
brown_terracotta: TE
green_terracotta: UE
red_terracotta: VE
black_terracotta: WE
barrier: XE
iron_trapdoor: YE
hay_block: ZE
white_carpet: aE
orange_carpet: bE
magenta_carpet: cE
light_blue_carpet: dE
yellow_carpet: eE
lime_carpet: fE
pink_carpet: gE
gray_carpet: hE
light_gray_carpet: iE
cyan_carpet: jE
purple_carpet: kE
blue_carpet: lE
brown_carpet: mE
green_carpet: nE
red_carpet: oE
black_carpet: pE
terracotta: qE
coal_block: rE
packed_ice: sE
slime_block: tE
grass_path: uE
sunflower: vE
lilac: wE
rose_bush: xE
peony: yE
tall_grass: zE
large_fern: 0E
white_stained_glass: 1E
orange_stained_glass: 2E
magenta_stained_glass: 3E
light_blue_stained_glass: 4E
yellow_stained_glass: 5E
lime_stained_glass: 6E
pink_stained_glass: 7E
gray_stained_glass: 8E
light_gray_stained_glass: 9E
cyan_stained_glass: AF
purple_stained_glass: BF
blue_stained_glass: CF
brown_stained_glass: DF
green_stained_glass: EF
red_stained_glass: FF
black_stained_glass: GF
white_stained_glass_pane: HF
orange_stained_glass_pane: IF
magenta_stained_glass_pane: JF
light_blue_stained_glass_pane: KF
yellow_stained_glass_pane: LF
lime_stained_glass_pane: MF
pink_stained_glass_pane: NF
gray_stained_glass_pane: OF
light_gray_stained_glass_pane: PF
cyan_stained_glass_pane: QF
purple_stained_glass_pane: RF
blue_stained_glass_pane: SF
brown_stained_glass_pane: TF
green_stained_glass_pane: UF
red_stained_glass_pane: VF
black_stained_glass_pane: WF
prismarine: XF
prismarine_bricks: YF
dark_prismarine: ZF
sea_lantern: aF
red_sandstone: bF
chiseled_red_sandstone: cF
cut_red_sandstone: dF
repeating_command_block: eF
chain_command_block: fF
magma_block: gF
nether_wart_block: hF
warped_wart_block: iF
red_nether_bricks: jF
bone_block: kF
structure_void: lF
observer: mF
shulker_box: nF
white_shulker_box: oF
orange_shulker_box: pF
magenta_shulker_box: qF
light_blue_shulker_box: rF
yellow_shulker_box: sF
lime_shulker_box: tF
pink_shulker_box: uF
gray_shulker_box: vF
light_gray_shulker_box: wF
cyan_shulker_box: xF
purple_shulker_box: yF
blue_shulker_box: zF
brown_shulker_box: 0F
green_shulker_box: 1F
red_shulker_box: 2F
black_shulker_box: 3F
white_glazed_terracotta: 4F
orange_glazed_terracotta: 5F
magenta_glazed_terracotta: 6F
light_blue_glazed_terracotta: 7F
yellow_glazed_terracotta: 8F
lime_glazed_terracotta: 9F
pink_glazed_terracotta: AG
gray_glazed_terracotta: BG
light_gray_glazed_terracotta: CG
cyan_glazed_terracotta: DG
purple_glazed_terracotta: EG
blue_glazed_terracotta: FG
brown_glazed_terracotta: GG
green_glazed_terracotta: HG
red_glazed_terracotta: IG
black_glazed_terracotta: JG
white_concrete: KG
orange_concrete: LG
magenta_concrete: MG
light_blue_concrete: NG
yellow_concrete: OG
lime_concrete: PG
pink_concrete: QG
gray_concrete: RG
light_gray_concrete: SG
cyan_concrete: TG
purple_concrete: UG
blue_concrete: VG
brown_concrete: WG
green_concrete: XG
red_concrete: YG
black_concrete: ZG
white_concrete_powder: aG
orange_concrete_powder: bG
magenta_concrete_powder: cG
light_blue_concrete_powder: dG
yellow_concrete_powder: eG
lime_concrete_powder: fG
pink_concrete_powder: gG
gray_concrete_powder: hG
light_gray_concrete_powder: iG
cyan_concrete_powder: jG
purple_concrete_powder: kG
blue_concrete_powder: lG
brown_concrete_powder: mG
green_concrete_powder: nG
red_concrete_powder: oG
black_concrete_powder: pG
turtle_egg: qG
dead_tube_coral_block: rG
dead_brain_coral_block: sG
dead_bubble_coral_block: tG
dead_fire_coral_block: uG
dead_horn_coral_block: vG
tube_coral_block: wG
brain_coral_block: xG
bubble_coral_block: yG
fire_coral_block: zG
horn_coral_block: 0G
tube_coral: 1G
brain_coral: 2G
bubble_coral: 3G
fire_coral: 4G
horn_coral: 5G
dead_brain_coral: 6G
dead_bubble_coral: 7G
dead_fire_coral: 8G
dead_horn_coral: 9G
dead_tube_coral: AH
tube_coral_fan: BH
brain_coral_fan: CH
bubble_coral_fan: DH
fire_coral_fan: EH
horn_coral_fan: FH
dead_tube_coral_fan: GH
dead_brain_coral_fan: HH
dead_bubble_coral_fan: IH
dead_fire_coral_fan: JH
dead_horn_coral_fan: KH
blue_ice: LH
conduit: MH
polished_granite_slab: NH
smooth_red_sandstone_slab: OH
mossy_stone_brick_slab: PH
polished_diorite_slab: QH
mossy_cobblestone_slab: RH
end_stone_brick_slab: SH
smooth_sandstone_slab: TH
smooth_quartz_slab: UH
granite_slab: VH
andesite_slab: WH
red_nether_brick_slab: XH
polished_andesite_slab: YH
diorite_slab: ZH
scaffolding: aH
iron_door: bH
oak_door: cH
spruce_door: dH
birch_door: eH
jungle_door: fH
acacia_door: gH
dark_oak_door: hH
crimson_door: iH
warped_door: jH
repeater: kH
comparator: lH
structure_block: mH
jigsaw: nH
turtle_helmet: oH
scute: pH
flint_and_steel: qH
apple: rH
bow: sH
arrow: tH
coal: uH
charcoal: vH
diamond: wH
iron_ingot: xH
gold_ingot: yH
netherite_ingot: zH
netherite_scrap: 0H
wooden_sword: 1H
wooden_shovel: 2H
wooden_pickaxe: 3H
wooden_axe: 4H
wooden_hoe: 5H
stone_sword: 6H
stone_shovel: 7H
stone_pickaxe: 8H
stone_axe: 9H
stone_hoe: AI
golden_sword: BI
golden_shovel: CI
golden_pickaxe: DI
golden_axe: EI
golden_hoe: FI
iron_sword: GI
iron_shovel: HI
iron_pickaxe: II
iron_axe: JI
iron_hoe: KI
diamond_sword: LI
diamond_shovel: MI
diamond_pickaxe: NI
diamond_axe: OI
diamond_hoe: PI
netherite_sword: QI
netherite_shovel: RI
netherite_pickaxe: SI
netherite_axe: TI
netherite_hoe: UI
stick: VI
bowl: WI
mushroom_stew: XI
string: YI
feather: ZI
gunpowder: aI
wheat_seeds: bI
wheat: cI
bread: dI
leather_helmet: eI
leather_chestplate: fI
leather_leggings: gI
leather_boots: hI
chainmail_helmet: iI
chainmail_chestplate: jI
chainmail_leggings: kI
chainmail_boots: lI
iron_helmet: mI
iron_chestplate: nI
iron_leggings: oI
iron_boots: pI
diamond_helmet: qI
diamond_chestplate: rI
diamond_leggings: sI
diamond_boots: tI
golden_helmet: uI
golden_chestplate: vI
golden_leggings: wI
golden_boots: xI
netherite_helmet: yI
netherite_chestplate: zI
netherite_leggings: 0I
netherite_boots: 1I
flint: 2I
porkchop: 3I
cooked_porkchop: 4I
painting: 5I
golden_apple: 6I
enchanted_golden_apple: 7I
oak_sign: 8I
spruce_sign: 9I
birch_sign: AJ
jungle_sign: BJ
acacia_sign: CJ
dark_oak_sign: DJ
crimson_sign: EJ
warped_sign: FJ
bucket: GJ
water_bucket: HJ
lava_bucket: IJ
minecart: JJ
saddle: KJ
redstone: LJ
snowball: MJ
oak_boat: NJ
leather: OJ
milk_bucket: PJ
pufferfish_bucket: QJ
salmon_bucket: RJ
cod_bucket: SJ
tropical_fish_bucket: TJ
brick: UJ
clay_ball: VJ
dried_kelp_block: WJ
paper: XJ
book: YJ
slime_ball: ZJ
chest_minecart: aJ
furnace_minecart: bJ
egg: cJ
compass: dJ
fishing_rod: eJ
clock: fJ
glowstone_dust: gJ
cod: hJ
salmon: iJ
tropical_fish: jJ
pufferfish: kJ
cooked_cod: lJ
cooked_salmon: mJ
ink_sac: nJ
cocoa_beans: oJ
lapis_lazuli: pJ
white_dye: qJ
orange_dye: rJ
magenta_dye: sJ
light_blue_dye: tJ
yellow_dye: uJ
lime_dye: vJ
pink_dye: wJ
gray_dye: xJ
light_gray_dye: yJ
cyan_dye: zJ
purple_dye: 0J
blue_dye: 1J
brown_dye: 2J
green_dye: 3J
red_dye: 4J
black_dye: 5J
bone_meal: 6J
bone: 7J
sugar: 8J
cake: 9J
white_bed: AK
orange_bed: BK
magenta_bed: CK
light_blue_bed: DK
yellow_bed: EK
lime_bed: FK
pink_bed: GK
gray_bed: HK
light_gray_bed: IK
cyan_bed: JK
purple_bed: KK
blue_bed: LK
brown_bed: MK
green_bed: NK
red_bed: OK
black_bed: PK
cookie: QK
filled_map: RK
shears: SK
melon_slice: TK
dried_kelp: UK
pumpkin_seeds: VK
melon_seeds: WK
beef: XK
cooked_beef: YK
chicken: ZK
cooked_chicken: aK
rotten_flesh: bK
ender_pearl: cK
blaze_rod: dK
ghast_tear: eK
gold_nugget: fK
nether_wart: gK
potion: hK
glass_bottle: iK
spider_eye: jK
fermented_spider_eye: kK
blaze_powder: lK
magma_cream: mK
brewing_stand: nK
cauldron: oK
ender_eye: pK
glistering_melon_slice: qK
bat_spawn_egg: rK
bee_spawn_egg: sK
blaze_spawn_egg: tK
cat_spawn_egg: uK
cave_spider_spawn_egg: vK
chicken_spawn_egg: wK
cod_spawn_egg: xK
cow_spawn_egg: yK
creeper_spawn_egg: zK
dolphin_spawn_egg: 0K
donkey_spawn_egg: 1K
drowned_spawn_egg: 2K
elder_guardian_spawn_egg: 3K
enderman_spawn_egg: 4K
endermite_spawn_egg: 5K
evoker_spawn_egg: 6K
fox_spawn_egg: 7K
ghast_spawn_egg: 8K
guardian_spawn_egg: 9K
hoglin_spawn_egg: AL
horse_spawn_egg: BL
husk_spawn_egg: CL
llama_spawn_egg: DL
magma_cube_spawn_egg: EL
mooshroom_spawn_egg: FL
mule_spawn_egg: GL
ocelot_spawn_egg: HL
panda_spawn_egg: IL
parrot_spawn_egg: JL
phantom_spawn_egg: KL
pig_spawn_egg: LL
piglin_spawn_egg: ML
piglin_brute_spawn_egg: NL
pillager_spawn_egg: OL
polar_bear_spawn_egg: PL
pufferfish_spawn_egg: QL
rabbit_spawn_egg: RL
ravager_spawn_egg: SL
salmon_spawn_egg: TL
sheep_spawn_egg: UL
shulker_spawn_egg: VL
silverfish_spawn_egg: WL
skeleton_spawn_egg: XL
skeleton_horse_spawn_egg: YL
slime_spawn_egg: ZL
spider_spawn_egg: aL
squid_spawn_egg: bL
stray_spawn_egg: cL
strider_spawn_egg: dL
trader_llama_spawn_egg: eL
tropical_fish_spawn_egg: fL
turtle_spawn_egg: gL
vex_spawn_egg: hL
villager_spawn_egg: iL
vindicator_spawn_egg: jL
wandering_trader_spawn_egg: kL
witch_spawn_egg: lL
wither_skeleton_spawn_egg: mL
wolf_spawn_egg: nL
zoglin_spawn_egg: oL
zombie_spawn_egg: pL
zombie_horse_spawn_egg: qL
zombie_villager_spawn_egg: rL
zombified_piglin_spawn_egg: sL
experience_bottle: tL
fire_charge: uL
writable_book: vL
written_book: wL
emerald: xL
item_frame: yL
flower_pot: zL
carrot: 0L
potato: 1L
baked_potato: 2L
poisonous_potato: 3L
map: 4L
golden_carrot: 5L
skeleton_skull: 6L
wither_skeleton_skull: 7L
player_head: 8L
zombie_head: 9L
creeper_head: AM
dragon_head: BM
carrot_on_a_stick: CM
warped_fungus_on_a_stick: DM
nether_star: EM
pumpkin_pie: FM
firework_rocket: GM
firework_star: HM
enchanted_book: IM
nether_brick: JM
quartz: KM
tnt_minecart: LM
hopper_minecart: MM
prismarine_shard: NM
prismarine_crystals: OM
rabbit: PM
cooked_rabbit: QM
rabbit_stew: RM
rabbit_foot: SM
rabbit_hide: TM
armor_stand: UM
iron_horse_armor: VM
golden_horse_armor: WM
diamond_horse_armor: XM
leather_horse_armor: YM
lead: ZM
name_tag: aM
command_block_minecart: bM
mutton: cM
cooked_mutton: dM
white_banner: eM
orange_banner: fM
magenta_banner: gM
light_blue_banner: hM
yellow_banner: iM
lime_banner: jM
pink_banner: kM
gray_banner: lM
light_gray_banner: mM
cyan_banner: nM
purple_banner: oM
blue_banner: pM
brown_banner: qM
green_banner: rM
red_banner: sM
black_banner: tM
end_crystal: uM
chorus_fruit: vM
popped_chorus_fruit: wM
beetroot: xM
beetroot_seeds: yM
beetroot_soup: zM
dragon_breath: 0M
splash_potion: 1M
spectral_arrow: 2M
tipped_arrow: 3M
lingering_potion: 4M
shield: 5M
elytra: 6M
spruce_boat: 7M
birch_boat: 8M
jungle_boat: 9M
acacia_boat: AN
dark_oak_boat: BN
totem_of_undying: CN
shulker_shell: DN
iron_nugget: EN
knowledge_book: FN
debug_stick: GN
music_disc_13: HN
music_disc_cat: IN
music_disc_blocks: JN
music_disc_chirp: KN
music_disc_far: LN
music_disc_mall: MN
music_disc_mellohi: NN
music_disc_stal: ON
music_disc_strad: PN
music_disc_ward: QN
music_disc_11: RN
music_disc_wait: SN
music_disc_pigstep: TN
trident: UN
phantom_membrane: VN
nautilus_shell: WN
heart_of_the_sea: XN
crossbow: YN
suspicious_stew: ZN
loom: aN
flower_banner_pattern: bN
creeper_banner_pattern: cN
skull_banner_pattern: dN
mojang_banner_pattern: eN
globe_banner_pattern: fN
piglin_banner_pattern: gN
composter: hN
barrel: iN
smoker: jN
blast_furnace: kN
cartography_table: lN
fletching_table: mN
grindstone: nN
lectern: oN
smithing_table: pN
stonecutter: qN
bell: rN
lantern: sN
soul_lantern: tN
sweet_berries: uN
campfire: vN
soul_campfire: wN
shroomlight: xN
honeycomb: yN
bee_nest: zN
beehive: 0N
honey_bottle: 1N
honey_block: 2N
honeycomb_block: 3N
lodestone: 4N
netherite_block: 5N
ancient_debris: 6N
target: 7N
crying_obsidian: 8N
blackstone: 9N
blackstone_slab: AO
gilded_blackstone: BO
polished_blackstone: CO
polished_blackstone_slab: DO
chiseled_polished_blackstone: EO
polished_blackstone_bricks: FO
polished_blackstone_brick_slab: GO
cracked_polished_blackstone_bricks: HO
respawn_anchor: IO
water: JO
lava: KO
tall_seagrass: LO
piston_head: MO
moving_piston: NO
wall_torch: OO
fire: PO
soul_fire: QO
redstone_wire: RO
oak_wall_sign: SO
spruce_wall_sign: TO
birch_wall_sign: UO
acacia_wall_sign: VO
jungle_wall_sign: WO
dark_oak_wall_sign: XO
redstone_wall_torch: YO
soul_wall_torch: ZO
nether_portal: aO
attached_pumpkin_stem: bO
attached_melon_stem: cO
pumpkin_stem: dO
melon_stem: eO
end_portal: fO
cocoa: gO
tripwire: hO
carrots: iO
potatoes: jO
skeleton_wall_skull: kO
wither_skeleton_wall_skull: lO
zombie_wall_head: mO
player_wall_head: nO
creeper_wall_head: oO
dragon_wall_head: pO
white_wall_banner: qO
orange_wall_banner: rO
magenta_wall_banner: sO
light_blue_wall_banner: tO
yellow_wall_banner: uO
lime_wall_banner: vO
pink_wall_banner: wO
gray_wall_banner: xO
light_gray_wall_banner: yO
cyan_wall_banner: zO
purple_wall_banner: 0O
blue_wall_banner: 1O
brown_wall_banner: 2O
green_wall_banner: 3O
red_wall_banner: 4O
black_wall_banner: 5O
beetroots: 6O
end_gateway: 7O
frosted_ice: 8O
kelp_plant: 9O
dead_tube_coral_wall_fan: AP
dead_brain_coral_wall_fan: BP
dead_bubble_coral_wall_fan: CP
dead_fire_coral_wall_fan: DP
dead_horn_coral_wall_fan: EP
tube_coral_wall_fan: FP
brain_coral_wall_fan: GP
bubble_coral_wall_fan: HP
fire_coral_wall_fan: IP
horn_coral_wall_fan: JP
bamboo_sapling: KP
bubble_column: LP
sweet_berry_bush: MP
weeping_vines_plant: NP
twisting_vines_plant: OP
crimson_wall_sign: PP
warped_wall_sign: QP
purpur_stairs: if
oak_stairs: jf
cobblestone_stairs: kf
brick_stairs: lf
stone_brick_stairs: mf
nether_brick_stairs: nf
sandstone_stairs: of
spruce_stairs: pf
birch_stairs: qf
jungle_stairs: rf
crimson_stairs: sf
warped_stairs: tf
quartz_stairs: uf
acacia_stairs: vf
dark_oak_stairs: wf
prismarine_stairs: xf
prismarine_brick_stairs: yf
dark_prismarine_stairs: zf
red_sandstone_stairs: 0f
polished_granite_stairs: 1f
smooth_red_sandstone_stairs: 2f
mossy_stone_brick_stairs: 3f
polished_diorite_stairs: 4f
mossy_cobblestone_stairs: 5f
end_stone_brick_stairs: 6f
stone_stairs: 7f
smooth_sandstone_stairs: 8f
smooth_quartz_stairs: 9f
granite_stairs: Ag
andesite_stairs: Bg
red_nether_brick_stairs: Cg
polished_andesite_stairs: Dg
diorite_stairs: Eg
blackstone_stairs: Fg
polished_blackstone_stairs: Gg
polished_blackstone_brick_stairs: Hg
legacy_wood_stairs: Ig
legacy_cobblestone_stairs: Jg
legacy_brick_stairs: Kg
legacy_smooth_stairs: Lg
legacy_nether_brick_stairs: Mg
legacy_sandstone_stairs: Ng
legacy_spruce_wood_stairs: Og
legacy_birch_wood_stairs: Pg
legacy_jungle_wood_stairs: Qg
legacy_quartz_stairs: Rg
legacy_acacia_stairs: Sg
legacy_dark_oak_stairs: Tg
legacy_red_sandstone_stairs: Ug
legacy_purpur_stairs: Vg
